"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Adopting Logical Architectures within Agile Projects","N. Santos; R. J. Machado; N. Ferreira","CCG/ZGDV Inst., Univ. of Minho, Guimaraes, Portugal; CCG/ZGDV Inst., Univ. of Minho, Guimaraes, Portugal; ALGORITMI Res. Centre, Univ. of Minho, Guimaraes, Portugal","2016 10th International Conference on the Quality of Information and Communications Technology (QUATIC)","16 Jan 2017","2016","","","242","247","Agile Software Development (ASD) is a movement that emerged in the late 1990's and since then has been increasingly adopted by organizations. They are successful in projects characterized by rapid changes, small teams and small cycles. Implementing the same agile philosophy but with an increase of complexity, i.e., large-scale agile (LSA) development, are sometimes criticized of not being as effective as typical ASD, requiring additional concerns and the need to address new research challenges. This PhD research proposes an approach for embedding architecture design in agile development, first in early analysis and then during the iterations and by properly providing the mechanisms to deal with the changes in requirements. The main result is a method for adopting logical architectures, Four-Step-Rule-Set (4SRS), properly adapted to ASD contexts, to be used as complementary approaches to an ASD lifecycle, so that ASD teams can use that information as input for delivering the working software.","","978-1-5090-3581-6","10.1109/QUATIC.2016.059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7814556","software logical architectures;architecture design;agile development;large-scale agile","Computer architecture;Software;Unified modeling language;Planning;Software architecture;Context;Documentation","software architecture;software prototyping","logical architecture;agile software development;ASD;LSA development;large-scale agile development;four-step-rule-set architecture;4SRS architecture","","","","36","","16 Jan 2017","","","IEEE","IEEE Conferences"
"A Review of Software Cost Estimation in Agile Software Development Using Soft Computing Techniques","S. Bilgaiyan; S. Mishra; M. Das","Sch. of Comput. Eng., KIIT Univ., Bhubaneswar, India; Sch. of Comput. Eng., KIIT Univ., Bhubaneswar, India; Sch. of Comput. Eng., KIIT Univ., Bhubaneswar, India","2016 2nd International Conference on Computational Intelligence and Networks (CINE)","1 Sep 2016","2016","","","112","117","For a successful software project, accurate prediction of its overall effort and cost estimation is a very much essential task. Software projects have evolved through a number of development models over the last few decades. Hence, to cover an accurate measurement of the effort and cost for different software projects based on different development models having new and innovative phases of software development, is a crucial task to be done. An accurate prediction always leads to a successful software project within the budget with no delay, but any percentage of misconduct in the overall effort and cost estimate may lead to a project failure in terms of delivery time, budget or features. Software industries have adopted various development models based on the project requirements and organization's capabilities. Due to adaptability to changes in a software project, agile software development model has become a much successful and popular framework for development over the last decade. The customer is involved as an active participant in the development using an agile framework. Hence, changes can occur at any phase of development and they can be dynamic in nature. That is why an accurate prediction of effort and cost of such projects is a crucial task to be done as the complexity of overall development structure is increased with the time. Soft computing techniques have proven that they are one of the best problem solving techniques in such scenarios. Such techniques are more flexible and presence of bio-intelligence increases their accuracy. Genetic Algorithm (GA), Particle Swarm Optimization (PSO), Artificial Neural Network (ANN), Fuzzy Inference Systems (FIS), etc. are applied successfully for estimation of cost and effort of agile based software projects. This paper deals with such soft computing techniques and provides a detailed and analytical overview of such methods. It also provides the future scope and possibilities to explore such techniques on the basis of survey provided by this paper.","2375-5822","978-1-5090-0451-5","10.1109/CINE.2016.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7556814","Agile software development;neural network;cost estimation;effort estimation;soft computing;software project management (SPM)","Software;Estimation;Agile software development;Artificial neural networks;Computational modeling;Predictive models","fuzzy logic;neural nets;project management;software cost estimation;software development management;software prototyping;uncertainty handling","software cost estimation;software project;agile software development model;soft computing techniques","","15","","68","","1 Sep 2016","","","IEEE","IEEE Conferences"
"Collaboration and human factors in software development: Teaching agile methodologies based on industrial insight","M. Kropp; A. Meier","University of Applied Sciences and Arts, Northwestern Switzerland, Windisch, Switzerland; Zurich University of Applied Sciences, Winterthur, Switzerland","2016 IEEE Global Engineering Education Conference (EDUCON)","23 May 2016","2016","","","1003","1011","Recent studies show that many companies have successfully adopted agile methodologies. In this paper the authors present results of their quantitative and qualitative studies, showing that only experienced companies apply agile collaboration practices properly. The studies also suggest that successful professional agile teams tend to use more collaboration practices and consciously live the agile values. This leads to the conclusion that applying the collaborative practices and living the agile values is difficult. Thus we educators should pay special attention to teaching these practices and values in courses on agile software development. This paper presents how agile collaboration is being taught in the classroom in a fourth semester software engineering module and explains the underlying assumptions. We use an agile coaching game as introduction to Scrum and discuss the mechanics of agile teams in the classroom. We present the setup of a hands-on agile student project with large student teams and the observations we made. Last but not least, we show and discuss how modern online collaboration tools act as enablers for agile collaboration in the classroom.","2165-9567","978-1-4673-8633-3","10.1109/EDUCON.2016.7474675","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7474675","Software Development;Agile;Collaboration;Collaboration tool","Collaboration;Companies;Software;Education;Testing;Software engineering;Programming","computer science education;groupware;human factors;Internet;software prototyping;teaching","human factors;agile methodologies;agile collaboration practices;teaching;agile software development;fourth semester software engineering module;agile coaching game;Scrum;online collaboration tools","","7","","26","","23 May 2016","","","IEEE","IEEE Conferences"
"Beyond the Border: A Comparative Literature Review on Communication Practices for Agile Global Outsourced Software Development Projects","T. Dreesen; R. Linden; C. Meures; N. Schmidt; C. Rosenkranz",NA; NA; NA; NA; NA,"2016 49th Hawaii International Conference on System Sciences (HICSS)","10 Mar 2016","2016","","","4932","4941","Software development is increasingly heading in the direction of combining agile software development practices and outsourcing software development to external vendors worldwide. The resulting agile global outsourced software development (AGOSD) projects are characterized by applying agile methods to distributed environments, which results in several problems for collaboration and coordination. Specifically, communication between the project participants has been found to be a major challenge in distributed environment. Therefore, our study investigates the problem of improving communication in distributed settings by identifying suitable communication practices for usage within AGOSD projects. Based on an extensive literature review, our study (1) provides an overview of adequate practices for usage in AGOSD and (2) points out differences to traditional communication practices of agile software development (ASD) projects used in collocated, non-distributed environments.","1530-1605","978-0-7695-5670-3","10.1109/HICSS.2016.612","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427799","Agile Software Development;Communication;Outsourcing;Offshoring;Literature Review","Software;Agile software development;Bibliographies;Outsourcing;Organizations;Programming;Variable speed drives","software prototyping","agile global outsourced software development projects;AGOSD projects;distributed environment","","3","","84","","10 Mar 2016","","","IEEE","IEEE Conferences"
"Improving the Organization Technology competitiveness through Effective Management of Conflict-Risk within Agile Teams","M. M. Tshabalala; L. T. Khoza","University of Johannesburg,Department of Applied Information Systems,Johannesburg,South Africa; University of Johannesburg,Department of Applied Information Systems,Johannesburg,South Africa","2019 International Multidisciplinary Information Technology and Engineering Conference (IMITEC)","28 Feb 2020","2019","","","1","8","Whenever, teams get together to work towards a common goal, conflict risk is always inherent. This applies to Agile development teams as well. Some researchers even argue it as necessary for project success. Agile development environments is no exception. The main purpose for adopting Agile is to improve the organization technology competitiveness. This is because Agile enables organizations to create software of quality standard, that allows for quicker response to the continuously changing market needs of today' world. Agile allows companies to address the market requirements while still being adaptive to constant change. Conflict-risk has been identified as one of the hindrances to realizing this purpose by the current literature, making conflict-risk a frontier towards successful Agile development project delivery. This paper explores the impact of an effectively managed conflict-risk in Agile teams, on the organization technology competitiveness. The research methodology adopted was the quantitative research approach that employed the use of purposive sampling technique. The study collected data using a survey, through an online questionnaire that gathered data from Agile professionals across SA. The findings reveal an extreme and vital role of conflict existence towards achieving agile project goals. Moreover, the findings show the impact of an effective conflict-risk mitigation and management with regards to an organization ability to maintain an effective technology competitiveness; which assist in organizations' overall success.","","978-1-7281-0040-1","10.1109/IMITEC45504.2019.9015899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9015899","Conflict-risk Management;Agile;Technology competitiveness","Standards organizations;Software;Companies;Collaboration;Information and communication technology;Electronic countermeasures","organisational aspects;software development management;software prototyping","organization technology competitiveness;agile development teams;agile development environments;continuously changing market needs;conflict existence;agile project goals;organization ability;technology competitiveness;conflict-risk mitigation;agile professionals;agile development project delivery","","","","32","","28 Feb 2020","","","IEEE","IEEE Conferences"
"Peer assessment in experiential learning Assessing tacit and explicit skills in agile software engineering capstone projects","F. Fagerholm; A. Vihavainen","Department of Computer Science, University of Helsinki, P.O. Box 68 (Gustaf Hällströmin katu 2b), FI-00014, Finland; Department of Computer Science, University of Helsinki, P.O. Box 68 (Gustaf Hällströmin katu 2b), FI-00014, Finland","2013 IEEE Frontiers in Education Conference (FIE)","19 Dec 2013","2013","","","1723","1729","To prepare students for real-life software engineering projects, many higher-education institutions offer courses that simulate working life to varying degrees. As software engineering requires not only technical, but also inter- and intrapersonal skills, these skills should also be assessed. Assessing soft skills is challenging, especially when project-based and experiential learning are the primary pedagogical approaches. Previous work suggests that including students in the assessment process can yield a more complete picture of student performance. This paper presents experiences with developing and using a peer assessment framework that provides a 360-degree view on students' project performance. Our framework has been explicitly constructed to accommodate and evaluate tacit skills that are relevant in agile software development. The framework has been evaluated with 18 bachelors- and 11 masters-level capstone projects, totaling 176 students working in self-organized teams. We found that the framework eases teacher workload and allows a more thorough assessment of students' skills. We suggest including self- and peer assessment into software capstone projects alongside other, more traditional schemes like productivity metrics, and discuss challenges and opportunities in defining learning goals for tacit and social skills.","2377-634X","978-1-4673-5261-1","10.1109/FIE.2013.6685132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6685132","Peer assessment;assessment metrics;self-assessment;case study;capstone project;experiential learning;project-based learning;tacit skills;teamwork;computer science education;agile software engineering","Software;Software engineering;Teamwork;Production facilities;Correlation;Educational institutions","computer science education;software prototyping","explicit skills assessment;tacit skills assessment;agile software engineering capstone projects;higher-education institutions;working life;intrapersonal skills;interpersonal skills;technical skills;project-based learning;experiential learning;pedagogical approaches;student performance;peer assessment framework;agile software development;masters-level capstone projects;bachelors-level capstone projects;self-organized teams;self assessment;social skills","","10","","31","","19 Dec 2013","","","IEEE","IEEE Conferences"
"Architectural challenges in migrating plan-driven projects to agile","V. Menon; R. Sinha; S. MacDonell","Auckland University of Technology, New Zealand; Auckland University of Technology, New Zealand; Auckland University of Technology, New Zealand","2015 International Conference on Evaluation of Novel Approaches to Software Engineering (ENASE)","5 Nov 2015","2015","","","223","228","Software development has steadily embraced agile software development methodology/method (ASDM) and has been moving away from the plan driven software development methodology (PDM) approaches like waterfall. Given the iterative nature of agile development, the integration of software architecture into the agile way has become challenging. This research identifies the challenges of having a robust architecture in projects already executed by plan driven methods and new projects likewise by conducting a literature review and a case study analysis. The ensuing analysis finds that there are three major areas: people, process and technology, in which these challenges could be mapped.","","978-989-758-143-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7320357","Agile;Waterfall;Plan Driven Methods;Software Architecture;Software Development;Requirements Engineering;Software Development Life Cycle","Software architecture;Variable speed drives;Software;Computer architecture;Requirements engineering;Agile software development;Bibliographies","","","","","","14","","5 Nov 2015","","","IEEE","IEEE Conferences"
"An agile boot camp: Using a LEGO®-based active game to ground agile development principles","T. D. Lynch; M. Herold; J. Bolinger; S. Deshpande; T. Bihari; J. Ramanathan; R. Ramnath",The Ohio State University; The Ohio State University; The Ohio State University; The Ohio State University; The Ohio State University; The Ohio State University; The Ohio State University,"2011 Frontiers in Education Conference (FIE)","2 Feb 2012","2011","","","F1H-1","F1H-6","Industry-practiced agile methods must become an integral part of a software engineering curriculum. It is essential that graduates of such programs seeking careers in industry understand and have positive attitudes toward agile principles. With this knowledge they can participate in agile teams and apply these methods with minimal additional training. However, learning these methods takes experience and practice, both of which are difficult to achieve in a direct manner within the constraints of an academic program. This paper presents a novel, immersive boot camp approach to learning agile software engineering concepts with LEGO® bricks as the medium. Students construct a physical product while inductively learning the basic principles of agile methods. The LEGO®-based approach allows for multiple iterations in an active learning environment. In each iteration, students inductively learn agile concepts through their experiences and mistakes. Subsequent iterations then ground these concepts, visibly leading to an effective process. We assessed this approach using a combination of quantitative and qualitative methods. Our assessment shows that the students demonstrated positive attitudes toward the boot-camp approach compared to lecture-based instruction. However, the agile boot camp did not have an effect on the students' recall on class tests when compared to their recall of concepts taught in lecture-based instruction.","2377-634X","978-1-61284-469-5","10.1109/FIE.2011.6142849","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6142849","Active learning;Agile concepts;Software engineering education;Workshops","Conferences;Education;Business;Programming;Software engineering;Cities and towns;Industries","computer science education;software engineering","agile boot camp;LEGO-based active game;ground agile development principles;industry-practiced agile methods;software engineering curriculum;academic program;multiple iterations;active learning environment;quantitative methods;qualitative methods;lecture-based instruction","","18","","12","","2 Feb 2012","","","IEEE","IEEE Conferences"
"Behavior-Driven Dynamics in Agile Development: The Effect of Fast Feedback on Teams","F. Kortum; J. Klünder; K. Schneider","Leibniz University Hannover, Germany; Software Engineering Group, Leibniz University Hannover; Software Engineering Group, Leibniz University Hannover","2019 IEEE/ACM International Conference on Software and System Processes (ICSSP)","26 Aug 2019","2019","","","34","43","Agile software development teams strive for fast and continuous feedback. Both the quality of the resulting software and the performance of the team require feedback. The performance of the team developments is often addressed in retrospectives which are not only part of the SCRUM framework, but also in general. Reflecting on incidents during the last sprint helps the team to increase performances, expressed by, e.g., efficiency and productivity. However, it is not only essential to identify volatile sprint performances, but also to characterize the primary cause to solve them. Main reasons for low performance are often not visible, primarily when they are related to social-driven team behavior, such as communication structures, mood, or satisfaction. In this paper, we analyze whether automated team feedback about retrospective sprint-behavior can help the team to increase performances due to additional awareness about the dynamic effects over time. In a comparative case study with 15 software projects and a total of 130 undergraduate students, we investigated the sustainable impact of feedback on human aspects. Our results indicate that automated feedback positively affects team performances - and customer satisfaction.","","978-1-7281-3393-5","10.1109/ICSSP.2019.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812840","team dynamics, agile, retrospectives, pro-active feedback, information transparency","Software;Productivity;Data visualization;Human factors;Software engineering;Task analysis;Industries","customer satisfaction;feedback;project management;software development management;software maintenance;software prototyping;software quality;team working","agile development;agile software development teams;continuous feedback;team developments;volatile sprint performances;social-driven team behavior;automated team feedback;retrospective sprint-behavior;software projects;SCRUM framework","","6","","29","","26 Aug 2019","","","IEEE","IEEE Conferences"
"SCRUM Project Architecture and Thriving Systems Theory","L. J. Waguespack; W. T. Schiano","Comput. Inf. Syst. Dept., Bentley Univ. Waltham, Waltham, MA, USA; Comput. Inf. Syst. Dept., Bentley Univ. Waltham, Waltham, MA, USA","2012 45th Hawaii International Conference on System Sciences","9 Feb 2012","2012","","","4943","4951","Agile project management continues to gain a widening and enthusiastic following. Agile methods can achieve a high level of satisfaction among all project stakeholders (users, customers, business managers, developers, and project managers) in terms of productivity, product quality, cost containment, time-to-market, and overall morale. Success with agile requires focus on requirements and design as a continuous discovery process, posing challenges for practitioners of more traditional project management both in terms of method adoption and sustained commitment. Thriving Systems Theory clarifies the appeal of agile project structure and processes, helps project teams determine and achieve the optimal portfolio of quality characteristics, and better articulate their value to all stakeholders. Thriving Systems Theory is an emerging framework of systems design quality that translates the research of design pattern patriarch Christopher Alexander on physical architecture design quality into the domain of systems engineering. The satisfaction achieved through agile methods is explained by Thriving Systems Theory's fifteen choice properties of systems design quality. We demonstrate by identifying the manifestation of the choice properties in SCRUM, an exemplar of agile software project management.","1530-1605","978-0-7695-4525-7","10.1109/HICSS.2012.513","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6149493","agile methods;architecture;software development;project management;design quality","Project management;Computer architecture;Software;Buildings;Planning;Architecture;Encapsulation","software architecture;software prototyping","SCRUM project architecture;thriving systems theory;agile project management;project stakeholders;agile project structure;agile project process;optimal portfolio","","2","","14","","9 Feb 2012","","","IEEE","IEEE Conferences"
"Tidal Wave: The Games Transformation","M. -W. Chung; S. Nugroho; J. F. “. Unson","Yahoo! Inc., Sunnyvale, CA; Yahoo! Inc., Sunnyvale, CA; NA","Agile 2008 Conference","15 Aug 2008","2008","","","102","105","Many companies are now adopting Agile methods to hopefully fix problems with delivering software in a timely, sustainable manner. However, most people seem to think that the transformation will be quick, and that once implemented, people can proceed along, with little or no change throughout.We are going to show how our team went through various transformations as we adopted different Agile project management tools. The transformations cover a span of about two years, and it shows how the transformation not only affected the product team, but also affected the entire organization - the organization continues to change, reinforcing the fact that Agile is never static.","","978-0-7695-3321-6","10.1109/Agile.2008.20","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599457","distributed team;multi-level planning;ROI;Scrum;team dynamics","Planning;Training;Business;Lead;Collaboration;Schedules;Software","software management","games transformation;agile methods;software delivery;agile project management tools","","2","","2","","15 Aug 2008","","","IEEE","IEEE Conferences"
"Productivity Evaluation Indicators Based on LEAN and their Application to Compare Agile and Waterfall Projects","K. Jinzenji; A. Jin; T. Muramoto",NTT Corporation; NTT Corporation; NTT Corporation,"2020 IEEE 44th Annual Computers, Software, and Applications Conference (COMPSAC)","22 Sep 2020","2020","","","460","466","Despite the increasing importance of responding quickly to markets and customers, many organizations that are contracted to develop software are still unable to move from waterfall to agile development. Major reasons include not only the incompatibility of current labor laws with agile development but also the inability to determine the productivity (cost, duration) of agile development. This paper proposes indicators to evaluate and compare the productivity of projects by focusing on ""value building"" in LEAN. To promote agile development, NTT Laboratories have been running agile development trials using delegated agreements (similar to time and material contracts) since 2018. Using the proposed indicators, we compared the statistics of 20 agile trial projects and more than 200 waterfall development projects. Results revealed that agile development became superior to waterfall development in terms of delivery time and cost when its feature-used rate was 30% higher than that of waterfall development.","0730-3157","978-1-7281-7303-0","10.1109/COMPSAC48688.2020.0-208","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9202746","Agile development;Productivity;Value;Lean","Productivity;Software;Buildings;Organizations;Mathematical model;Contracts","project management;software development management;software prototyping;team working","productivity evaluation indicators;agile development trials;waterfall development projects;agile trial projects;LEAN;NTT laboratories;feature-used rate;value building","","1","","17","","22 Sep 2020","","","IEEE","IEEE Conferences"
"Using of Web Objects method in agile web software projects","S. Čelar; Ž. Šeremet; Ž. Marušić; M. Turić","FESB, University of Split, Ruđera Boškovića 32, Croatia; FSR, University of Mostar, Matica Hrvatska b.b., Bosnia and Herzegovina; Faculty of Science and Education, University of Mostar, Matica Hrvatska b.b., Bosnia and Herzegovina; Venio Indicium d.o.o., Doverska 19, Split, Croatia","2013 21st Telecommunications Forum Telfor (TELFOR)","20 Jan 2014","2013","","","873","876","Paper describes an implementation of Web Objects (WO) methods for measurement of software development results. The method is applied to a data-set of 2 projects obtained by Faculty of Science and Education, University of Mostar, focused on Web application projects. The projects are done by internal agile team during 2013 year. The ultimate goal of this approach is using of WO for early estimation in agile projects.","","978-1-4799-1420-3","10.1109/TELFOR.2013.6716369","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6716369","Software metrics;web development;function points;web objects;agile projects","Size measurement;Software;Software measurement;Educational institutions;Estimation","Internet;project management;software management;software metrics;software prototyping","Web Objects method;agile Web software project estimation;WO methods;software development result measurement;Faculty of Science and Education;University of Mostar;Web application projects;internal agile team","","","","28","","20 Jan 2014","","","IEEE","IEEE Conferences"
"Machine Learning models to predict Agile Methodology adoption","R. Hanslo; M. Tanner","University of Cape Town,Council for Scientific and Industrial Research, South Africa,South Africa; University of Cape Town,Department of Information Systems,South Africa","2020 15th Conference on Computer Science and Information Systems (FedCSIS)","14 Oct 2020","2020","","","697","704","Agile software development methodologies are used in many industries of the global economy. The Scrum framework is the predominant Agile methodology used to develop, deliver, and maintain complex software products. While the success of software projects has significantly improved while using Agile methodologies in comparison to the Waterfall methodology, a large proportion of projects continue to be challenged or fails. The primary objective of this paper is to use machine learning to develop predictive models for Scrum adoption, identifying a preliminary model with the highest prediction accuracy. The machine learning models were implemented using multiple linear regression statistical techniques. In particular, a full feature set adoption model, a transformed logarithmic adoption model, and a transformed logarithmic with omitted features adoption model were evaluated for prediction accuracy. Future research could improve upon these findings by incorporating additional model evaluation and validation techniques.","","978-83-955416-7-4","10.15439/2020F214","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222987","Adoption;Agile methodologies;Machine learning;Scrum","Measurement;Training;Computational modeling;Machine learning;Predictive models;Prediction algorithms;Data models","learning (artificial intelligence);project management;regression analysis;software development management;software metrics;software prototyping","Agile software development methodologies;Scrum framework;software projects;Waterfall methodology;predictive models;Scrum adoption;machine learning models;multiple linear regression statistical techniques;transformed logarithmic adoption model;validation techniques;full feature set adoption model","","2","","24","","14 Oct 2020","","","IEEE","IEEE Conferences"
"Cowboys and Indians: Impacts of Cultural Diversity on Agile Teams","J. Aston; L. Laroche; G. Meszaros","Agile Perspective Inc., Calgary, AB; NA; NA","Agile 2008 Conference","15 Aug 2008","2008","","","423","428","Underestimating the impacts of cultural diversity on your team can be disastrous, creating barriers and even team breakdown. Most leaders arenpsilat aware of the influences that cultural differences can have on team dynamics. These impacts can be even more pronounced on agile self organizing teams. This paper explores these differences and discusses how we addressed them.","","978-0-7695-3321-6","10.1109/Agile.2008.17","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599517","Cultural Diversity;Team Dynamics;Dysfunction","Cultural differences;Business;Global communication;Lead;Companies;Collaboration;Conferences","team working","cultural diversity;team dynamics;agile self organizing teams","","1","","3","","15 Aug 2008","","","IEEE","IEEE Conferences"
"People over Process: Key Challenges in Agile Development","K. Conboy; S. Coyle; X. Wang; M. Pikkarainen","National University of Ireland, Galway; National University of Ireland, Galway; Lero; VTT Technical Research Centre of Finland","IEEE Software","23 Jun 2011","2011","28","4","48","57","Case studies of 17 organizations that have used agile methods for more than three years uncovered many serious ""people"" challenges including recruitment, training, motivation, and performance evaluation.","1937-4194","","10.1109/MS.2010.132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5560625","agile;agile software development;adoption;methodologies;people factors;developers;software development;software engineering","Agile manufacturing;Business;Object oriented modeling;Strategic planning;Business;Management","organisational aspects;recruitment;training","agile development;recruitment;training;motivation;performance evaluation;organisations","","104","","7","","2 Sep 2010","","","IEEE","IEEE Magazines"
"Student-faculty collaboration on design of innovative agile software engineering curriculum","V. Uskov; H. G. Vada","Dept. of Computer Science and Information Systems, Bradley University, Peoria, Illinois, U.S.A.; Dept. of Computer Science and Information Systems, Bradley University, Peoria, Illinois, U.S.A.","2014 IEEE Frontiers in Education Conference (FIE) Proceedings","19 Feb 2015","2014","","","1","8","The use of agile methodology components — agile methods, techniques, framework, tools, and applications — has more than tripled in the several most recent years because multiple large-size, middle-size and mostly small-size enterprises move from traditional heavily regulated processes-driven business approaches towards customer-focused and value-driven flexible business approaches. The performed analysis of the current status of agile methodology applications in industry clearly shows that it will soon need a significant number of well educated and highly skilled specialists in this area — agile software development project managers, agile software engineers, analysts, developers, testers, etc. The findings and outcomes of performed research motivated the authors — faculty and graduate student at Bradley University (Peoria, IL, U.S.A.)-to propose and design innovative Agile Software Engineering academic curriculum. This paper presents the main findings and outcomes of analysis, design and development phases of innovative Agile Software Engineering curriculum and courseware creation.","2377-634X","978-1-4799-3922-0","10.1109/FIE.2014.7044096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044096","agile software engineering;curriculum;student-faculty collaboration","Iron","computer science education;further education;software prototyping","student-faculty collaboration;innovative agile software engineering curriculum;curriculum design;agile methods;agile techniques;agile framework;agile tools;agile applications;processes-driven business approach;customer-focused flexible business approach;value-driven flexible business approach;agile methodology applications;Bradley University;courseware creation","","","","47","","19 Feb 2015","","","IEEE","IEEE Conferences"
"Factors that impact implementing an agile software development methodology","J. A. Livermore",NA,"Proceedings 2007 IEEE SoutheastCon","23 Apr 2007","2007","","","82","86","The Internet economy has altered the rules of software engineering. Traditional development methodologies are too cumbersome to meet the rapidly changing requirements and short product cycles demanded by business. To meet these changing requirements, software developers have developed agile software development methodologies (SDMs) utilizing iterative development, prototyping, and templates. This research project investigated agile SDM implementation using an online survey sent to practitioners worldwide. This survey data were used to identify factors related to agile SDM implementation. Factors that included training, management involvement, access to external resources, and corporate size were found to impact implementation of an agile software development methodology. Factors such as using models, having an implementation plan, collocating the development team, and developing software for Internet or intranet use did not impact the implementation of an agile software development methodology. Several of the factors that impact the implementation of an agile development methodology are under the control of management. Organizations considering the implementation of an agile methodology may wish to manipulate some of these factors to increase the opportunities for success of their methodology.","1558-058X","1-4244-1028-2","10.1109/SECON.2007.342860","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4147390","","Programming;Internet;Resource management;Software engineering;Management training;Testing;Educational institutions;Iterative methods;Software prototyping;Software development management","Internet;intranets;software engineering","agile software development;Internet economy;software engineering;agile methodology implementation;Crystal methods;XP;extreme programming;intranet implementation","","22","","12","","23 Apr 2007","","","IEEE","IEEE Conferences"
"The Impact of Scaling on Planning Activities in an Agile Software Development Center","H. Smits",Rally Software Development,"2007 40th Annual Hawaii International Conference on System Sciences (HICSS'07)","29 Jan 2007","2007","","","274c","274c","This paper evaluates agile practices when applied in multi-team and multi-person-year projects. It does so through inspection of the requirements brought on by scaling projects, and applying basic agile principles to those requirements. In the introduction section the main agile principles are introduced, as well as the Lean principles upon which the agile methods are built. One of those Lean principles, Muri or overburdening of people, are addressed through the extension of the agile planning process. The extension of the most used agile planning technique (iteration planning) is described in detail, both the motivation for the extension as well as the collaboration practices behind each planning level. In the final chapter the impact of product complexities on the planning process is evaluated, and a solution to create a smooth flow in the planning/delivery cycle is presented","1530-1605","0-7695-2755-8","10.1109/HICSS.2007.536","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4076938","","Programming;Process planning;Large-scale systems;Inspection;Collaboration;Vocabulary;Writing;Conference management;Technical activities;Project management","project management;software development management","agile software development context;Lean principle;agile planning technique","","5","","11","","29 Jan 2007","","","IEEE","IEEE Conferences"
"Toward an Understanding of Job Satisfaction on Agile Teams: Agile Development as Work Redesign","J. F. Tripp; C. K. Riemenschneider",NA; NA,"2014 47th Hawaii International Conference on System Sciences","10 Mar 2014","2014","","","3993","4002","Agile methodologists have claimed that a key value proposition for the adoption of agile methods is that the methods' practices, processes, and philosophy make people more motivated and satisfied with their jobs. However, while several studies have found evidence for this impact, there has not been extensive theoretical support to explain why. In this study, we use the lens of Hackman & Oldham's job characteristics model to motivate a theory of motivation and satisfaction amongst agile development teams. We propose that agile teams are, in fact, redesigning work in the very way that Hackman & Oldham propose will increase job perceptions, and lead to greater job satisfaction. We report the initial results of a research-in-progress study. Using a quantitative survey of 104 software professionals, we test the theory and find preliminary support for our model and hypotheses.","1530-1605","978-1-4799-2504-9","10.1109/HICSS.2014.494","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6759096","","Planning;Software;Job design;Programming;Testing;Encoding;Standards","software prototyping","job satisfaction;agile teams;agile development;work redesign;agile methodologists;key value proposition;agile methods;job perceptions","","3","","24","","10 Mar 2014","","","IEEE","IEEE Conferences"
